stop_id_padded,stop_id_raw,bus_stop_name,gtfs_stop_id,gtfs_stop_name
0001,1,Rosa Parks Downtown Station,1,Rosa Parks RTS Downtown Station
0002,2,Hampton Inn Hotel,2,Hampton Inn Hotel
0003,3,Westbound SW 2nd Avenue @ SW 2nd Street,3,Westbound SW 2nd Avenue @ SW 2nd Street
0004,4,The Continuum,4,The Continuum
0006,6,Ayers Medical Plaza,6,720 SW 2nd Ave
0007,7,Infinity Hall,7,Infinity Hall
0008,8,Courtyard Apartments,8,Courtyard Apartments
0009,9,Campus USA Bank,9,Campus USA Credit Union
0010,10,Norman Hall,10,Norman Hall
0012,12,Norman Field @ SW 8th Avenue,12,Norman Field @ SW 8th Avenue
0013,13,Beaty Towers,13,Beaty Towers
0014,14,Frazier Rogers Hall,14,Frazier Rogers Hall
0015,15,Benton Hall,15,Center Dr @ Museum Rd
0016,16,Shands Hospital @ Basic Science Building,16,Shands Hospital @ Center Drive
0018,18,Shands Hospital @ Davis Cancer Pavilion,18,Shands Hospital @ Davis Cancer Pavilion
0020,20,Mt Vernon Apartments,20,Mt Vernon Apartments
0022,22,Country Village Apartments,22,Country Village
0023,23,UF Surge Area Drive,23,UF Surge Area Drive
0024,24,Tropic Carwash,24,Take 5 Car Wash
0025,25,Westbound Archer Road @ SW 34th Street,25,Westbound Archer Road @ SW 34th Street
0026,26,Whole Foods @ Butler Town Center,26,Whole Foods @ Butler Town Center
0027,27,Chili's Grill and Bar @ Butler Plaza,27,Chili's Grill and Bar @ Butler Plaza
0028,28,Bonefish Grill Seafood Restaurant @ Butler Plaza,28,Bonefish Grill Seafood Restaurant @ Butler Plaza
0034,34,Radio Shack @ Archer Road,34,Direct Insurance @ Archer Road
0035,35,Silver Creek Apartments,35,Silver Creek Apartments
0036,36,Capstone Quarters Apartments,36,Capstone Quarters Apartments
0037,37,Brandywine Apartments,37,Brandywine Apartments
0038,38,University Commons Apartments @ Archer Road,38,University Commons
0039,39,The Bartram Apartments,39,The Bartram Apartments
0040,40,Shands Care Helicopter Pad,40,Shands Care Helicopter Pad
0042,42,Shands Hospital @ HPNP Building,42,Shands Hospital @ Center Drive
0043,43,Greenhouse - Agronomy Building,43,Center Dr @ Museum Rd
0044,44,Frazier Rogers Hall,44,Frazier Rogers Hall (Eastbound)
0045,45,University Police Department,45,University Police Department
0046,46,Beaty Towers,46,Beaty Towers
0052,52,Eastbound SW 2nd Avenue @ SW 10th Street,52,Eastbound SW 2nd Avenue @ SW 10th Street
0053,53,Eastbound SW 2nd Ave @ SW 7th Terrace,53,Innovation Square East
0055,55,Second Avenue Center Apartments,55,Second Avenue Center Apartments
0056,56,Eastbound SW 2nd Ave @ SW 2nd St,56,Eastbound SW 2nd Ave @ SW 2nd St
0057,57,Hippodrome Theater,57,Hippodrome Theatre
0060,60,RTS Entrance,60,SE 4th Street @ SE 10th Avenue
0061,61,Dignity Project,61,Dignity Project
0063,63,NorWOOD Neighborhood,63,Norwood Neighborhood
0064,64,Sugarhill Neighborhood @ SE 4th Street,64,Sugarhill Neighborhood @ SE 4th Street
0066,66,Eastbound SE 22nd Avenue @ SE 12th Street,66,Eastbound SE 22nd Avenue @ SE 12th Street
0067,67,Eastbound SE 22nd Avenue @ SE 13th Street,67,Eastbound SE 22nd Avenue @ SE 13th Street
0082,82,McPherson Recreational Center,82,McPherson Recreational Center
0084,84,Northbound SE 15th Street @ SE 13th Place,84,Northbound SE 15th Street @ SE 13th Place
0085,85,Lincoln Estate Neighborhood,85,Lincoln Estate Neighborhood
0087,87,Lincoln Estate Neighborhood,87,Lincoln Estate Neighborhood
0089,89,Lincoln Estate Neighborhood,89,Lincoln Estate Neighborhood
0090,90,Lincoln Estate Neighborhood,90,Lincoln Estate Neighborhood
0092,92,Lincoln Estate Neighborhood,92,Lincoln Estates
0096,96,Northbound SE 15th Street @ SE 3rd Avenue,96,Northbound SE 15th Street @ SE 3rd Avenue
0097,97,Veteran's Honor Center,97,Veteran's Honor Center
0098,98,SE Hawthorne Rd @ SE 18th St Eastbound,98,SE Hawthorne Rd @ SE 18th St Eastbound
0099,99,SE Hawthorne Rd @ SE 21st St Eastbound,99,SE Hawthorne Rd @ SE 21st St Eastbound
0100,100,GTEC,100,GTEC
0101,101,SE 24th Street - Dollar General Store,101,SE 24th Street - Dollar General Store
0103,103,Northbound SE 24th Street @ E University Avenue,103,Northbound SE 24th Street @ E University Avenue
0107,107,Inside Alachua County Health Department,107,Health Department
